iso3,Country,year,pop,rgdpo,rnna,avg_savings_rate,avg_labsh,avg_delta,avg_pop_growth,per_capita_capital
JPN,Japan,1976,114.502795,2140760.25,8684773,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,75847.69437287535
JPN,Japan,1977,115.574277,2288072.75,9251136,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,80044.93941156128
JPN,Japan,1978,116.576944,2460841.75,9869457,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,84660.45395734512
JPN,Japan,1979,117.521556,2625492.0,10512650,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,89452.95108243801
JPN,Japan,1980,118.358756,2778892.0,11087465,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,93676.76186120104
JPN,Japan,1981,118.994053,2771451.0,11661513,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,98000.80513267331
JPN,Japan,1982,119.485775,2730068.75,12206848,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,102161.51671611119
JPN,Japan,1983,119.948947,2694770.75,12716322,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,106014.45296556041
JPN,Japan,1984,120.384394,2713529.0,13244571,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,110019.00296146359
JPN,Japan,1985,120.832163,2794807.25,13826276,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,114425.46137322727
JPN,Japan,1986,121.366735,3048766.75,14438253,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,118963.8412864942
JPN,Japan,1987,121.943587,3261692.5,15114087,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,123943.27058789898
JPN,Japan,1988,122.476952,3592050.75,15918733,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,129973.29489388339
JPN,Japan,1989,122.947413,3864530.75,16801428,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,136655.400793183
JPN,Japan,1990,123.399765,4169953.25,17753778,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,143872.05680659116
JPN,Japan,1991,123.889871,4444147.5,18690502,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,150863.842613897
JPN,Japan,1992,124.383708,4614489.0,19540490,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,157098.46823347636
JPN,Japan,1993,124.839958,4765192.5,20300046,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,162608.56159531872
JPN,Japan,1994,125.28686,4833148.5,21011250,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,167705.13683557877
JPN,Japan,1995,125.672665,5106124.0,21740976,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,172996.85655587874
